,Player,Prediction,Actual,% Error
0,Joe Flacco (FA),13.217578,11.5,14.935460297957711
1,Brandon Allen (SF),12.940688,10.7,20.941010591025673
2,Kyle Allen (BUF),13.217578,11.5,14.935460297957711
3,Jake Luton (CAR),13.767426,11.4,20.766890676398024
4,Jeff Driskel (ARI),13.155705,10.7,22.95051824266666
5,Marcus Mariota (PHI),12.878816,26.8,51.944717720373355
6,John Wolford (TB),13.155705,13.8,4.668801072714991
7,Taylor Heinicke (ATL),13.767426,11.7,17.670303735977573
8,Josh Allen (BUF),23.369812,24.6,5.0007641800050875
9,Justin Herbert (LAC),22.561392,23.3,3.1699921440157284
10,Tom Brady (FA),20.493862,22.7,9.718668933481894
11,Patrick Mahomes II (KC),22.683266,22.0,3.1057531183416196
12,Matthew Stafford (LAR),20.13315,20.4,1.3080877416274057
13,Aaron Rodgers (NYJ),22.54113,21.1,6.830000312407428
14,Dak Prescott (DAL),20.819511,20.7,0.5773498240300458
15,Joe Burrow (CIN),20.889355,20.5,1.8992912478563262
16,Jalen Hurts (PHI),17.660809,21.4,17.4728571811569
17,Kyler Murray (ARI),18.457407,22.2,16.858527037474484
18,Kirk Cousins (MIN),18.88093,19.2,1.6618231932322147
19,Ryan Tannehill (TEN),17.083965,16.6,2.9154536235763278
20,Derek Carr (NO),14.950437,15.9,5.97209690501855
21,Carson Wentz (FA),16.319927,15.6,4.614918048565206
22,Lamar Jackson (BAL),15.556369,21.1,26.273133517441593
23,Russell Wilson (DEN),16.953215,17.8,4.757221093338531
24,Jimmy Garoppolo (LV),16.074265,16.0,0.4641532897949219
25,Mac Jones (NE),14.57431,14.0,4.102216448102679
26,Taylor Heinicke (ATL),14.804599,14.9,0.6402764544391015
27,Matt Ryan (FA),14.538105,13.8,5.348587036132807
28,Ben Roethlisberger (FA),14.57431,14.3,1.9182538652753447
29,Trevor Lawrence (JAC),13.547425,12.7,6.6726399218942305
30,Teddy Bridgewater (FA),14.264487,15.0,4.903418223063151
31,Jared Goff (DET),14.538105,14.5,0.26279317921605605
32,Baker Mayfield (TB),14.035625,13.8,1.7074308533599358
33,Tua Tagovailoa (MIA),15.893379,14.7,8.118225928066543
34,Daniel Jones (NYG),13.401662,15.9,15.71281840966183
35,Sam Darnold (SF),15.932482,14.2,12.200575815120219
36,Davis Mills (HOU),14.061408,12.8,9.854750335216517
37,Zach Wilson (NYJ),15.893379,12.5,27.147033691406254
38,Justin Fields (CHI),13.96151,11.4,22.469383373595118
39,Jameis Winston (NO),12.117778,17.2,29.54780334650084
40,Trevor Siemian (CIN),12.738937,15.5,17.813307239163308
41,Andy Dalton (CAR),12.738937,11.6,9.818425671807654
42,Cam Newton (FA),17.294708,11.4,51.70796712239583
43,Tyrod Taylor (NYG),17.308748,14.5,19.37067755337419
44,Tyler Huntley (BAL),15.162798,12.4,22.2806284504552
45,Trey Lance (SF),12.508109,11.2,11.679545470646456
46,Geno Smith (SEA),12.738937,13.8,7.688859580219661
47,Mike White (MIA),12.738937,13.0,2.008174015925481
48,Josh Johnson (BAL),12.508109,12.1,3.372802419110766
49,Gardner Minshew II (IND),12.508109,11.5,8.766166023586107
50,Joe Flacco (FA),12.508109,11.9,5.110160442961361
51,Nick Foles (FA),12.508109,16.8,25.546969686235705
