Player,Team,ATT,CMP,YDS,TD,INTS,ATT,YDS,TD,FL,FPTS
 ,,,,,,,,,,,
Patrick Mahomes II,KC,609.8,405.5,"4,832.00",37.7,11.2,64.9,356.8,3.2,1.9,383.8
Josh Allen,BUF,575.7,363.1,"4,277.30",32.1,14.2,117,661.6,6.3,4.2,380.5
Jalen Hurts,PHI,494.5,318.3,"3,825.00",23.8,10.1,157.6,800.7,11,2.9,378.5
Lamar Jackson,BAL,477.6,303.1,"3,463.30",25.5,11.5,148.9,942.9,5.5,3,350.4
Joe Burrow,CIN,599,407.3,"4,634.90",33,13.1,65.4,274.4,3.9,2.3,350.3
Justin Fields,CHI,408,250.9,"2,912.30",20.4,12.8,161.3,"1,070.20",6.9,3.5,326.7
Justin Herbert,LAC,627.8,422,"4,596.10",30.1,12.7,57.1,220.7,2,2,321.5
Deshaun Watson,CLE,507.9,326.7,"3,872.40",24.8,11.3,96.1,481.9,4.1,1.8,311.8
Kirk Cousins,MIN,592.7,394.9,"4,442.00",30.5,12.3,31.6,92,1.5,2.8,300.3
Dak Prescott,DAL,550.4,363.1,"4,111.00",29.1,13.9,58,248.6,2.3,3.1,299.9
Trevor Lawrence,JAC,579.2,378.4,"4,085.70",26.6,12.3,62.2,285.1,3.9,5.2,299.3
Daniel Jones,NYG,515.3,335.6,"3,474.50",20.8,9.8,109.3,638.6,4.9,4.1,297.4
Geno Smith,SEA,543.4,370,"4,038.30",27.1,11.3,62.2,323.3,2,3.5,295.9
Aaron Rodgers,NYJ,565.3,366.1,"4,101.80",28.4,8.6,36,123.9,1.6,2.6,285.3
Russell Wilson,DEN,511.7,323,"3,816.10",24.4,10.7,63.5,318.4,2.7,2.1,283.4
Jared Goff,DET,570.6,375.1,"4,241.60",28,11,31,79.8,1.1,3.6,277.8
Tua Tagovailoa,MIA,523.8,342.3,"4,037.30",26.9,12.1,42.3,131.9,1.6,1.8,276.3
Anthony Richardson,IND,484,298.1,"3,155.10",17.9,13.2,128.5,568,4.2,2.5,261.3
Derek Carr,NO,511,335.3,"3,936.30",23.8,11.8,34.9,118.2,0.9,2.6,253
Matthew Stafford,LAR,528.1,350.8,"3,984.90",24.4,13.2,30,71.4,0.9,2.8,250.7
Kenny Pickett,PIT,503.8,318,"3,318.40",17.5,12.5,66.8,420.6,3.6,1.5,250.6
Jordan Love,GB,544.1,344,"3,811.70",23.2,14.8,43.1,166.6,1.5,2.6,250.4
Bryce Young,CAR,525.1,331,"3,665.80",20.5,12.9,51.1,200.5,1.6,2.3,240.8
Brock Purdy,SF,436.6,285.3,"3,394.50",23.6,9.9,36.6,107.7,2,1.4,240.2
Jimmy Garoppolo,LV,483.4,319.5,"3,557.90",21.3,11.7,30.3,66.5,1.5,2.3,227
C.J. Stroud,HOU,519.7,326.3,"3,460.30",19.7,14.2,50.4,177.8,1.5,2.5,224.4
Mac Jones,NE,492.3,321.9,"3,436.30",19.1,13.2,50.6,148.9,1.2,2.1,218.8
Kyler Murray,ARI,434.4,286.3,"2,798.90",14.5,9.7,79.6,424.7,3,1.9,216.8
Ryan Tannehill,TEN,444.2,289,"3,217.70",18.3,10.6,40.3,159.6,2.1,2.1,216
Sam Howell,WAS,463.4,288.9,"2,968.80",16.3,11.9,49.8,207.9,1.7,2.4,198
Desmond Ridder,ATL,439.3,270.7,"2,923.20",16.5,10.4,39.8,172.4,1.4,3,192.3
Baker Mayfield,TB,457.3,280.8,"2,989.70",15.9,11.4,33.8,121.3,1.1,2.1,186.4
Jacoby Brissett,WAS,206.8,120.7,"1,322.80",5.5,4.3,24.5,95.3,0.8,1.8,81.3
Colt McCoy,ARI,179.1,116.2,"1,259.80",4.9,4.8,18.7,62.4,0.5,1.1,72.2
Kyle Trask,TB,201.1,121.1,"1,231.40",5.6,6.1,17.2,46.8,0.2,1.1,69.3
Will Levis,TEN,143.7,89,"1,027.80",4.2,4.7,18.3,60.7,0.3,0.9,59.4
Trey Lance,SF,126.6,78.1,799.9,3,3.5,23.1,93.8,0.6,0.9,51.7
Gardner Minshew II,IND,99,62.4,826.6,3.3,2.7,15.2,51.9,0.2,1.6,46.7
Brian Hoyer,LV,97.9,59.4,747.2,4,4,10.4,32.8,0.2,0.8,45.2
Taylor Heinicke,ATL,99.2,60.7,713.8,3.9,4,18.1,51.4,0.2,1.2,43.8
Mike White,MIA,94.6,56.6,608.1,2.8,3.7,12.6,20.4,0.1,0.6,33
Brett Rypien,LAR,0,0,571.3,2.6,3.8,0,14.5,0.3,0.2,31.9
Sam Darnold,SF,119.1,69,579.6,2.3,3.6,15,42.4,0.1,1,31.3
Bailey Zappe,NE,100.2,61,598.9,2.4,3.6,12,22.4,0.1,1.1,30.8
Clayton Tune,ARI,137.7,81.7,765.1,0,5.8,23.7,51.1,0.2,1.7,27.7
Davis Mills,HOU,84.7,49.6,521.6,1.7,4,14.5,31.5,0.2,0.6,26.9
Tyrod Taylor,NYG,41.9,27.1,286.8,2,1.3,14.3,59.2,0.2,0.3,25
Nate Sudfeld,DET,0,0,383.8,1.7,1.9,0,26.5,0.5,0.5,24.9
Marcus Mariota,PHI,54.7,34.3,329.7,1.6,1.2,15.4,49.1,0.3,0.4,24
Andy Dalton,CAR,67.5,41.9,421.6,2,2.4,7.4,15.9,0.1,0.4,23.5
Tyler Huntley,BAL,52.2,32.7,310.4,1.4,1.4,19.8,59.5,0.2,0.5,22.6
Mitch Trubisky,PIT,58.4,38.4,357.4,1.6,1.7,8.3,25.3,0.2,0.2,22.3
Jarrett Stidham,DEN,60.3,34.4,350.4,2.3,2.1,5.3,11.1,0.1,0.4,21.8
Sean Clifford,GB,50.6,31.2,363.2,1.6,2.5,8.4,19.4,0.2,0.5,20.3
P.J. Walker,CHI,85.6,43.5,368.6,1.8,4,9.9,21.6,0.1,0.4,19.9
Blaine Gabbert,KC,51.9,30.5,337.4,1.7,2.6,11.2,21.2,0.1,0.5,19.3
Jameis Winston,NO,38,26.2,321.6,1.5,1.4,4.6,9.4,0.2,0.2,19.2
Nick Mullens,MIN,45.8,34.4,337.5,1.9,2.1,5,8.7,0.1,0.7,19
Joshua Dobbs,CLE,54.7,32.5,337.2,1.5,2.6,10.7,27.2,0.1,0.6,19
Zach Wilson,NYJ,94.2,52.6,480.1,0.8,5.2,5.4,13.5,0.2,0.5,18.6
Drew Lock,SEA,52.9,29,327.8,1.5,2.7,6,16.9,0.1,0.5,17.9
Easton Stick,LAC,60.4,35.4,327,1.6,3.5,14.8,20,0.2,0.7,17.6
