,Player,Prediction,Actual,% Error
0,Ezekiel Elliott (FA),16.545666,14.8,11.79503879031619
1,Alvin Kamara (NO),16.545666,18.1,8.5874820941061
2,Cordarrelle Patterson (ATL),11.776784,14.7,19.885823515807687
3,Antonio Gibson (WAS),17.145979,14.3,19.901950542743382
4,Aaron Jones (GB),12.899526,15.3,15.689374886307068
5,Josh Jacobs (LV),16.545666,15.1,9.573945304415876
6,Nick Chubb (CLE),11.707585,15.4,23.976718605338753
7,Damien Harris (BUF),11.707585,14.0,16.37439046587263
8,D'Andre Swift (PHI),11.714171,16.1,27.24117136890104
9,Dalvin Cook (FA),13.073493,15.9,17.77677356072192
10,Javonte Williams (DEN),16.545666,12.1,36.741039181543776
11,Devin Singletary (HOU),16.410574,11.6,41.4704651668154
12,Darrel Williams (FA),11.594036,11.5,0.8177052373471468
13,David Montgomery (DET),16.545666,14.0,18.183326721191406
14,Melvin Gordon III (BAL),13.073493,12.2,7.15977872004275
15,Derrick Henry (TEN),11.707585,24.2,51.62154820339738
16,AJ Dillon (GB),12.938398,10.9,18.700902396385818
17,James Robinson (NYG),11.185961,12.4,9.79063895440871
18,Myles Gaskin (MIA),12.744643,10.2,24.947482464360267
19,Elijah Mitchell (SF),11.707585,13.8,15.16242511030557
20,Darrell Henderson Jr. (FA),10.247783,13.6,24.648656564600323
21,Tony Pollard (DAL),10.937152,10.8,1.269925082171398
22,Michael Carter (NYJ),10.247783,11.0,6.838339025324042
23,Saquon Barkley (NYG),12.744643,10.6,20.232483126082514
24,Devonta Freeman (FA),10.247783,9.2,11.388942469721265
25,Sony Michel (FA),11.723078,8.6,36.31485783776572
26,Devontae Booker (FA),11.594036,9.0,28.822623358832466
27,Chase Edmonds (TB),11.432722,11.9,3.926705111976434
28,Mike Davis (FA),11.594036,8.1,43.13624817648052
29,Chuba Hubbard (CAR),8.7212,8.6,1.4093022013819536
30,J.D. McKissic (FA),8.244437,11.6,28.927265364548255
31,Christian McCaffrey (SF),9.6866665,18.2,46.776557754684276
32,Alexander Mattison (MIN),11.049164,7.9,39.86283314378955
33,Brandon Bolden (LV),8.244437,7.8,5.697913047594904
34,Kenneth Gainwell (PHI),9.327788,7.7,21.140108480081928
35,Rashaad Penny (PHI),8.495601,12.2,30.3639286854228
36,Jamaal Williams (NO),10.196245,9.2,10.828752103059196
37,Miles Sanders (CAR),10.196245,9.8,4.043318300831067
38,Ty Johnson (FA),8.490405,7.8,8.851347214136371
39,Clyde Edwards-Helaire (KC),9.975138,11.7,14.742412730159918
40,Rhamondre Stevenson (NE),8.59156,9.6,10.50457954406738
41,Nyheim Hines (BUF),8.244437,6.6,24.91571541988489
42,Kareem Hunt (FA),8.403281,13.8,39.10665788512299
43,Mark Ingram II (FA),9.937552,7.8,27.404518616505165
44,Zack Moss (IND),8.253285,8.1,1.8924124446916035
45,Rex Burkhead (FA),9.693062,7.0,38.47231183733259
46,D'Ernest Johnson (JAC),8.403281,8.0,5.041015148162842
47,Latavius Murray (BUF),8.495601,7.4,14.805414869978616
48,Kenyan Drake (FA),8.490405,8.5,0.11288137996897979
49,Boston Scott (PHI),7.6132507,9.0,15.4083251953125
50,D'Onta Foreman (CHI),8.495601,10.4,18.3115317271306
51,Ameer Abdullah (LV),8.1456995,5.3,53.69244341580374
52,Justin Jackson (FA),8.403281,6.2,35.536793739564956
53,Samaje Perine (DEN),7.9767957,5.5,45.032648606733844
54,David Johnson (FA),9.327788,6.3,48.060132586766805
55,Ronald Jones II (DAL),7.6132507,5.3,43.64624023437501
56,Jeremy McNichols (FA),7.5260234,5.7,32.03549803349009
57,Dontrell Hilliard (FA),7.9478135,9.1,12.661389990167299
58,Alex Collins (FA),7.798516,6.3,23.785965026371066
59,Jordan Howard (FA),8.140384,8.9,8.535014377551137
60,Damien Williams (FA),7.0772552,5.1,38.76971076516545
61,Giovani Bernard (FA),7.8971567,5.9,33.85011382022146
62,Duke Johnson Jr. (FA),7.4916673,11.8,36.51129431643729
63,Derrick Gore (WAS),7.179085,7.0,2.558353969029018
64,Jeff Wilson Jr. (MIA),7.4916673,5.7,31.432759134392985
65,Chris Evans (CIN),7.0772552,5.5,28.6773681640625
66,Chris Carson (FA),7.179085,12.0,40.174293518066406
67,Matt Breida (NYG),6.8773828,6.1,12.74397959474658
68,Ty'Son Williams (ARI),6.8773828,5.2,32.257360678452706
69,Ke'Shawn Vaughn (TB),6.8773828,6.1,12.74397959474658
70,Craig Reynolds (DET),7.179085,7.0,2.558353969029018
71,James White (FA),7.6982937,10.4,25.97794532775879
72,Adrian Peterson (FA),6.8773828,6.7,2.6475038101424
73,Jermar Jefferson (DET),6.8773828,5.1,34.85064226038317
74,Ryquell Armstead (FA),6.8773828,6.3,9.164805639357796
75,Rodney Smith (FA),7.6982937,9.8,21.445982796805254
76,Ito Smith (FA),8.7830105,6.4,37.234538793563836
77,Jason Huntley (PIT),7.2623196,5.1,42.398422839594836
78,Austin Ekeler (LAC),21.42728,21.9,2.158536867463963
79,Christian McCaffrey (SF),21.373112,21.0,1.7767224993024553
80,Josh Jacobs (LV),19.050175,19.3,1.2944315381618399
81,Derrick Henry (TEN),16.630033,18.9,12.01040479871961
82,Saquon Barkley (NYG),18.00154,17.8,1.132242867116174
