,Player,Team,ATT,YDS,TDS,REC,YDS.1,TDS.1,FL,Prediction
1,Christian McCaffrey,SF,224.2,"1,034.40",7.6,76.3,652.9,4.4,1.0,16.412395
2,Austin Ekeler,LAC,190.8,866.4,9.5,80.1,619.0,4.0,1.9,18.527658
3,Saquon Barkley,NYG,255.9,"1,146.90",7.9,51.6,354.8,1.7,1.3,16.199846
4,Josh Jacobs,LV,265.2,"1,222.00",9.7,39.7,291.2,0.8,1.8,13.562953
5,Tony Pollard,DAL,211.1,"1,065.10",7.9,46.3,383.1,2.2,0.8,15.388477
6,Nick Chubb,CLE,277.3,"1,389.20",9.3,26.9,226.7,1.1,1.9,13.182969
7,Derrick Henry,TEN,301.9,"1,330.00",9.3,31.7,266.6,0.7,2.1,15.273765
8,Bijan Robinson,ATL,239.5,"1,153.00",8.6,38.7,329.7,2.1,2.2,13.452237
9,Joe Mixon,CIN,245.2,"1,013.20",7.8,51.3,376.3,2.0,1.3,15.863612
10,Jonathan Taylor,IND,261.8,"1,243.60",9.0,37.8,255.6,1.0,2.5,13.352858
11,Aaron Jones,GB,204.1,"1,001.60",5.9,51.2,381.6,2.8,1.3,15.407758
12,Rhamondre Stevenson,NE,221.5,"1,024.50",6.3,54.7,382.3,1.5,1.6,16.044495
13,Breece Hall,NYJ,191.8,973.4,6.9,41.1,364.0,2.2,1.3,13.261004
14,Najee Harris,PIT,267.2,"1,048.60",7.0,39.8,273.1,2.3,1.6,13.562953
15,Travis Etienne Jr.,JAC,223.2,"1,107.30",6.6,36.7,292.9,1.0,2.5,13.420524
16,James Conner,ARI,214.3,914.2,7.0,41.1,302.7,1.3,1.4,13.650164
17,Alexander Mattison,MIN,215.1,947,8.0,32.0,219.3,1.6,1.4,12.421157
18,Jahmyr Gibbs,DET,179.7,784.7,6.4,43.5,343.8,2.0,1.7,14.2413435
19,Kenneth Walker III,SEA,228.8,"1,046.70",8.3,27.1,177.6,0.6,0.7,12.401612
20,Dameon Pierce,HOU,262.7,"1,091.00",5.6,31.6,205.7,1.1,2.6,12.680898
21,Rachaad White,TB,203.8,817,4.3,46.7,341.3,2.0,2.8,15.388477
22,Alvin Kamara,NO,176.5,757,3.9,45.9,378.7,1.8,1.2,14.364475
23,Miles Sanders,CAR,215.8,"1,008.10",6.1,28.2,191.2,0.8,1.5,12.421157
24,J.K. Dobbins,BAL,177.8,933.7,7.1,22.6,164.8,1.6,0.7,11.13386
