"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Alvin Kamara (NO)","187","932","5.0","49","13","16","83","107","756","9.1","5","0","15","377.8","25.2","93.6%"
"2","Dalvin Cook (FA)","312","1,557","5.0","70","12","16","44","54","361","8.2","1","3","14","337.8","24.1","94.0%"
"3","Derrick Henry (TEN)","378","2,027","5.4","94","30","17","19","31","114","6.0","0","2","16","333.1","20.8","99.9%"
"4","David Montgomery (DET)","247","1,070","4.3","80","12","8","54","68","438","8.1","2","1","15","264.8","17.7","91.9%"
"5","Aaron Jones (GB)","201","1,104","5.5","77","17","9","47","63","355","7.6","2","0","14","258.9","18.5","98.5%"
"6","Jonathan Taylor (IND)","232","1,169","5.0","62","15","11","36","40","299","8.3","1","1","15","252.8","16.9","99.8%"
"7","James Robinson (NYG)","240","1,070","4.5","47","8","7","49","60","344","7.0","3","1","14","250.4","17.9","3.6%"
"8","Josh Jacobs (LV)","273","1,065","3.9","28","3","12","33","45","238","7.2","0","2","15","231.3","15.4","99.9%"
"9","Ezekiel Elliott (FA)","244","979","4.0","31","4","6","52","71","338","6.5","2","5","15","223.7","14.9","48.6%"
"10","Kareem Hunt (FA)","198","841","4.2","33","4","6","38","51","304","8.0","5","0","16","218.5","13.7","11.8%"
"11","Nick Chubb (CLE)","190","1,067","5.6","59","20","12","16","18","150","9.4","0","1","12","207.7","17.3","99.9%"
"12","Mike Davis (FA)","165","642","3.9","25","2","6","59","70","373","6.3","2","1","15","206.5","13.8","1.0%"
"13","Antonio Gibson (WAS)","170","795","4.7","40","8","11","36","44","247","6.9","0","2","14","202.2","14.4","84.1%"
"14","Melvin Gordon III (BAL)","215","986","4.6","65","10","9","32","44","158","4.9","1","4","15","198.4","13.2","1.9%"
"15","Nyheim Hines (BUF)","89","380","4.3","31","4","3","63","76","482","7.7","4","0","16","193.2","12.1","1.9%"
"16","Kenyan Drake (FA)","239","955","4.0","69","10","10","25","31","137","5.5","0","1","15","192.2","12.8","0.6%"
"17","J.D. McKissic (FA)","85","365","4.3","17","0","1","80","110","589","7.4","2","1","16","191.4","12.0","0.1%"
"18","D'Andre Swift (PHI)","114","521","4.6","54","4","8","46","57","357","7.8","2","2","13","189.8","14.6","92.4%"
"19","Chris Carson (FA)","141","681","4.8","29","3","5","37","46","287","7.8","4","0","12","187.8","15.7","0.3%"
"20","Ronald Jones II (DAL)","192","978","5.1","98","11","7","28","42","165","5.9","1","2","14","186.3","13.3","1.8%"
"21","David Johnson (FA)","147","691","4.7","48","7","6","33","46","314","9.5","2","1","12","179.5","15.0","0.0%"
"22","Clyde Edwards-Helaire (KC)","181","803","4.4","31","4","4","36","54","297","8.3","1","0","13","176.0","13.5","15.5%"
"23","Miles Sanders (CAR)","164","867","5.3","82","13","6","28","52","197","7.0","0","2","12","170.4","14.2","96.3%"
"24","J.K. Dobbins (BAL)","134","805","6.0","72","15","9","18","24","120","6.7","0","0","15","168.5","11.2","93.4%"
"25","Chase Edmonds (TB)","97","448","4.6","32","5","1","53","67","402","7.6","4","0","16","168.0","10.5","2.2%"
"26","Austin Ekeler (LAC)","116","530","4.6","27","2","1","54","65","403","7.5","2","0","10","165.3","16.5","100.0%"
"27","James Conner (ARI)","169","721","4.3","59","8","6","35","43","215","6.1","0","0","13","164.6","12.7","94.3%"
"28","Myles Gaskin (MIA)","142","584","4.1","26","3","3","41","47","388","9.5","2","2","10","164.2","16.4","0.1%"
"29","Todd Gurley II (FA)","195","678","3.5","35","3","9","25","35","164","6.6","0","0","15","163.2","10.9","0.1%"
"30","Giovani Bernard (FA)","124","416","3.4","15","0","3","47","59","355","7.6","3","1","16","158.1","9.9","0.0%"
"31","Devin Singletary (HOU)","156","687","4.4","51","6","2","38","50","269","7.1","0","1","16","143.6","9.0","50.2%"
"32","Jeff Wilson Jr. (MIA)","126","600","4.8","34","4","7","13","28","133","10.2","3","2","12","142.3","11.9","64.3%"
"33","Wayne Gallman Jr. (FA)","147","682","4.6","60","6","6","21","27","114","5.4","0","0","15","136.6","9.1","0.0%"
"34","Latavius Murray (BUF)","146","656","4.5","36","4","4","23","26","176","7.7","1","0","15","136.2","9.1","1.8%"
"35","Leonard Fournette (FA)","97","367","3.8","46","5","6","36","47","233","6.5","0","0","13","132.0","10.2","17.1%"
"36","Darrell Henderson Jr. (FA)","138","624","4.5","40","6","5","16","24","159","9.9","1","0","15","130.3","8.7","0.6%"
"37","Gus Edwards (BAL)","144","723","5.0","36","10","6","9","13","129","14.3","0","1","16","128.2","8.0","10.9%"
"38","Jamaal Williams (NO)","119","505","4.2","25","1","2","31","35","236","7.6","1","0","14","127.1","9.1","88.8%"
