,Player,Prediction,Actual,% Error
0,Keke Coutee (NO),7.9045177,10.9,27.481489443997724
1,Odell Beckham Jr. (BAL),7.2401557,12.4,41.611647605895996
2,Golden Tate (FA),7.534207,7.2,4.641762044694686
3,Cam Sims (LV),7.395413,5.4,36.952091146398466
4,Henry Ruggs III (FA),7.549505,6.5,16.146234365609978
5,Michael Thomas (NO),6.624928,12.0,44.7922666867574
6,Deebo Samuel (SF),7.3955245,11.5,35.69109128869098
7,Tyron Johnson (DAL),8.060195,6.6,22.124166199655253
8,Preston Williams (FA),7.3524265,9.4,21.782696500737618
9,N'Keal Harry (FA),7.09436,5.3,33.85584669293098
10,Quintez Cephus (DET),7.3319936,5.1,43.76457999734318
11,Kenny Golladay (FA),7.3319936,13.2,44.45459409193559
12,Richie James Jr. (KC),7.2215,5.9,22.398303726972152
13,Denzel Mims (DET),6.354329,6.7,5.159267026986651
14,Adam Humphries (FA),7.1479144,8.3,13.880549281476497
15,Julian Edelman (FA),6.354329,9.4,32.400754157533044
16,Isaiah Ford (CHI),6.4293294,5.6,14.80945348739625
17,Lynn Bowden Jr. (NO),6.4293294,5.4,19.06165546841091
18,Deonte Harty (BUF),7.0317802,5.3,32.6750989230174
19,Chad Hansen (FA),7.0317802,9.3,24.389459753549232
20,DeSean Jackson (FA),7.007533,9.0,22.13852140638563
21,Chris Hogan (FA),5.9182897,5.2,13.813262719374434
22,Parris Campbell (NYG),6.9970455,7.4,5.445330851786849
23,Courtland Sutton (DEN),6.9970455,9.6,27.114109198252358
24,Cooper Kupp (LAR),22.647133,25.9,12.55933253461329
25,Davante Adams (LV),20.906404,21.5,2.7609093244685683
26,Deebo Samuel (SF),17.929413,21.2,15.427297916052474
27,Justin Jefferson (MIN),19.918913,19.4,2.6748086988311526
28,Ja'Marr Chase (CIN),19.52715,17.9,9.090218996868462
29,Tyreek Hill (MIA),17.744839,17.4,1.9818316931012117
30,Stefon Diggs (BUF),17.744839,16.8,5.624039967854813
31,Diontae Johnson (PIT),17.570574,17.2,2.1544988765273025
32,Mike Evans (TB),17.229763,16.4,5.0595306768650055
33,Hunter Renfrow (LV),17.43069,15.2,14.675597140663555
34,Keenan Allen (LAC),16.113602,16.1,0.08448251285907502
35,Mike Williams (LAC),15.903713,15.4,3.2708651059633698
36,Jaylen Waddle (MIA),16.03102,15.4,4.097527342957333
37,DK Metcalf (SEA),15.8547325,14.4,10.10230912102593
38,Chris Godwin (TB),14.764406,17.3,14.656611536279582
39,Tyler Lockett (SEA),15.541964,15.1,2.92691110775171
40,Michael Pittman Jr. (IND),15.880893,14.0,13.434948240007675
41,DJ Moore (CHI),14.842043,14.0,6.01459230695452
42,CeeDee Lamb (DAL),15.377484,14.6,5.325235079412593
43,Brandin Cooks (DAL),15.848891,14.5,9.302698332687905
44,Amon-Ra St. Brown (DET),13.562409,14.2,4.490074641268013
45,Marquise Brown (ARI),15.848891,14.1,12.40348410099111
46,Darnell Mooney (CHI),14.576188,12.9,12.993706104367275
47,Tee Higgins (CIN),15.009761,15.7,4.396427664787143
48,Terry McLaurin (WAS),15.049593,12.6,19.441214061918714
49,Christian Kirk (JAC),14.538357,12.2,19.166858860703773
50,Amari Cooper (CLE),14.337161,13.5,6.201193067762587
51,Adam Thielen (CAR),12.415022,15.4,19.382974698946075
52,Jakobi Meyers (LV),13.093106,11.6,12.87160577445195
53,DeVonta Smith (PHI),12.832313,10.9,17.72763838461779
54,Tyler Boyd (CIN),11.439956,11.5,0.5221242490022079
55,A.J. Brown (PHI),12.602735,13.9,9.332844850828325
56,Kendrick Bourne (NE),10.918991,10.6,3.0093498949734703
57,Marvin Jones Jr. (DET),12.339019,10.6,16.4058379407199
58,Brandon Aiyuk (SF),10.918991,10.0,9.189910888671875
59,Van Jefferson (LAR),12.377248,9.9,25.022705155189584
60,Chase Claypool (CHI),11.946811,11.1,7.6289254265862585
61,Russell Gage (TB),11.298944,12.5,9.608444213867188
62,Cole Beasley (NYG),10.0057,10.0,0.05700111389160157
63,K.J. Osborn (MIN),11.194893,9.3,20.37519229355678
64,A.J. Green (FA),12.19542,9.8,24.443063930589318
65,Tim Patrick (DEN),10.538124,9.8,7.53187841298628
66,Marquez Callaway (DEN),12.123191,8.9,36.215627863166034
67,Courtland Sutton (DEN),9.876962,8.8,12.238201228055077
68,Cedrick Wilson Jr. (MIA),10.967468,10.6,3.4666817143278337
69,DeAndre Hopkins (TEN),10.662544,14.7,27.465685370828012
70,Allen Lazard (NYJ),10.234183,10.2,0.3351305045333633
71,Mecole Hardman Jr. (NYJ),9.281713,8.3,11.827861831848871
72,Robbie Chosen (MIA),9.479918,8.1,17.036018842532314
73,Elijah Moore (CLE),9.078541,12.6,27.94808887300037
74,Robert Woods (HOU),9.420584,15.2,38.02247549358167
75,Jarvis Landry (FA),7.6727095,11.1,30.876491306064363
76,Kalif Raymond (DET),9.906803,8.3,19.359073868717044
77,Emmanuel Sanders (FA),9.583042,9.4,1.9472568593126622
78,Odell Beckham Jr. (BAL),9.078541,9.2,1.3202086738918062
79,Laviska Shenault Jr. (CAR),8.135403,7.9,2.9797807524475823
80,Byron Pringle (WAS),9.5647545,7.9,21.072841595999797
81,Gabe Davis (BUF),8.778031,8.4,4.500373204549149
82,Antonio Brown (FA),9.096828,17.3,47.41717652778405
83,Braxton Berrios (MIA),7.3941684,7.6,2.7083108299656873
84,Quez Watkins (PHI),7.618373,6.8,12.034895840813135
85,Deonte Harty (BUF),9.021156,8.7,3.6914518509788157
86,Donovan Peoples-Jones (CLE),9.021156,7.8,15.655850141476366
87,Jamison Crowder (NYG),7.518892,9.1,17.374815259660988
88,Bryan Edwards (NO),9.021156,6.8,32.66406339757583
89,Rondale Moore (ARI),7.44939,7.8,4.495000839233397
90,Nick Westbrook-Ikhine (TEN),8.097759,7.2,12.468878428141274
91,Zay Jones (JAC),7.435481,7.1,4.725085513692512
92,Corey Davis (NYJ),8.646087,11.7,26.10182313837556
93,DeVante Parker (NE),7.561427,10.4,27.293970034672665
94,Rashod Bateman (BAL),7.435481,8.6,13.540917773579439
95,Nelson Agholor (BAL),7.958722,6.9,15.343798761782432
96,Jalen Guyton (LAC),7.958722,6.1,30.470854337098174
97,Zach Pascal (ARI),8.16019,5.9,38.308298789848706
98,Randall Cobb (NYJ),7.578824,8.5,10.837364196777344
99,Joshua Palmer (LAC),7.7401066,6.2,24.84042875228389
100,Michael Gallup (DAL),7.2157373,10.2,29.25747703103458
101,Olamide Zaccheaus (PHI),7.682964,6.0,28.049397468566895
102,Kenny Golladay (FA),6.823995,6.4,6.624923646450037
103,Tre'Quan Smith (NO),7.443496,8.8,15.414815599268138
104,Marquez Valdes-Scantling (KC),7.682964,7.9,2.7472930618479325
105,Allen Robinson II (PIT),7.0884314,7.3,2.8982005707205136
106,DeAndre Carter (LV),7.443496,5.1,45.95090641694912
107,Freddie Swain (MIA),7.2666287,5.1,42.48291651407878
108,Jerry Jeudy (DEN),6.722226,8.5,20.91498655431411
109,Henry Ruggs III (FA),7.2157373,12.1,40.36580708401262
110,Nico Collins (HOU),7.0884314,6.0,18.140522638956703
111,Laquon Treadwell (BAL),7.0884314,6.9,2.7308892512666954
112,Kadarius Toney (KC),7.1289835,9.2,22.51104893891707
113,Jauan Jennings (SF),7.1625285,6.3,13.690928807334299
114,Josh Reynolds (DET),7.2157373,7.3,1.154282974870235
115,Julio Jones (FA),7.0884314,8.0,11.39460802078247
116,Keelan Cole Sr. (LV),7.0884314,5.6,26.579131398882193
117,Sterling Shepard (NYG),7.0884314,11.1,36.14025803299638
118,Jamal Agnew (JAC),7.0742044,6.3,12.28895944262308
