,Player,Team,REC,YDS,TD,ATT,YDS.1,TDS,FL,Prediction
0,Justin Jefferson,MIN,110.5,1532.0,8.2,3.7,18.0,0.3,0.4,18.46305
1,Ja'Marr Chase,CIN,107.4,1378.9,10.2,5.2,24.6,0.1,1.1,17.900597
2,Tyreek Hill,MIA,106.0,1409.5,7.8,9.5,60.1,0.6,0.5,17.898708
3,Cooper Kupp,LAR,101.5,1307.5,8.8,7.1,71.8,0.9,0.6,17.900597
4,CeeDee Lamb,DAL,97.4,1274.5,8.0,8.5,55.1,0.3,0.5,17.662804
5,Davante Adams,LV,94.4,1235.1,9.0,1.8,6.7,0.1,0.5,15.566086
6,Stefon Diggs,BUF,95.0,1266.8,8.3,0.8,4.0,0.0,0.6,15.839429
7,A.J. Brown,PHI,79.2,1209.3,8.7,0.4,4.6,0.0,0.6,14.491448
8,Jaylen Waddle,MIA,79.8,1184.8,6.5,4.1,37.6,0.3,0.6,14.539069
9,Amon-Ra St. Brown,DET,101.0,1147.9,5.8,7.8,62.4,0.4,0.4,15.08821
10,Deebo Samuel,SF,70.9,902.1,3.9,43.0,258.8,2.5,1.5,11.773371
11,Garrett Wilson,NYJ,84.8,1146.0,6.1,1.9,3.1,0.0,0.7,14.539069
12,Amari Cooper,CLE,75.2,1062.6,7.1,0.7,1.9,0.0,0.3,14.356834
13,Tee Higgins,CIN,80.7,1092.5,6.5,0.7,2.9,0.0,0.5,14.356834
14,Chris Olave,NO,82.1,1146.4,5.6,0.0,0.2,0.0,1.4,14.539069
15,Christian Watson,GB,69.6,955.1,6.1,7.4,66.6,1.0,0.3,13.602705
16,DeVonta Smith,PHI,84.3,1062.5,6.3,0.0,0.2,0.0,0.6,14.356834
17,DK Metcalf,SEA,82.0,1006.2,7.1,0.2,1.3,0.0,0.8,14.3469095
18,Jerry Jeudy,DEN,74.1,1051.1,5.6,1.5,15.3,0.0,0.3,14.356834
19,Terry McLaurin,WAS,72.9,1041.7,5.3,3.1,19.4,0.1,0.4,12.673308
20,Calvin Ridley,JAC,77.1,993.4,6.2,1.7,4.2,0.0,0.5,14.3469095
21,Mike Williams,LAC,71.1,995.3,6.0,1.2,5.3,0.0,0.3,13.920744
22,Keenan Allen,LAC,90.0,1008.2,5.5,1.6,8.9,0.0,0.6,14.353921
23,Mike Evans,TB,71.0,982.6,5.9,0.1,8.0,0.0,0.3,13.602705
24,Christian Kirk,JAC,76.0,944.5,6.0,3.3,19.9,0.1,0.4,14.028871
25,DeAndre Hopkins,TEN,75.8,985.3,5.6,0.2,1.5,0.0,0.7,14.133328
26,DJ Moore,CHI,65.6,917.6,6.1,5.1,32.8,0.0,0.5,13.602705
27,Chris Godwin,TB,92.6,981.0,4.4,2.3,11.3,0.1,1.0,12.751083
28,Drake London,ATL,76.5,947.1,5.6,0.0,0.2,0.0,2.1,14.028871
29,Brandon Aiyuk,SF,63.8,898.6,5.3,2.8,18.7,0.2,0.5,11.62516
30,Tyler Lockett,SEA,71.7,889.4,5.8,0.3,0.8,0.0,0.5,13.223085
