Player,Team,REC,YDS,TD,ATT,YDS,TDS,FL
Justin Jefferson,MIN,110.5,"1,532.00",8.2,3.7,18,0.3,0.4
Ja'Marr Chase,CIN,107.4,"1,378.90",10.2,5.2,24.6,0.1,1.1
Tyreek Hill,MIA,106,"1,409.50",7.8,9.5,60.1,0.6,0.5
Cooper Kupp,LAR,101.5,"1,307.50",8.8,7.1,71.8,0.9,0.6
CeeDee Lamb,DAL,97.4,"1,274.50",8,8.5,55.1,0.3,0.5
Davante Adams,LV,94.4,"1,235.10",9,1.8,6.7,0.1,0.5
Stefon Diggs,BUF,95,"1,266.80",8.3,0.8,4,0,0.6
A.J. Brown,PHI,79.2,"1,209.30",8.7,0.4,4.6,0,0.6
Jaylen Waddle,MIA,79.8,"1,184.80",6.5,4.1,37.6,0.3,0.6
Amon-Ra St. Brown,DET,101,"1,147.90",5.8,7.8,62.4,0.4,0.4
Deebo Samuel,SF,70.9,902.1,3.9,43,258.8,2.5,1.5
Garrett Wilson,NYJ,84.8,"1,146.00",6.1,1.9,3.1,0,0.7
Amari Cooper,CLE,75.2,"1,062.60",7.1,0.7,1.9,0,0.3
Tee Higgins,CIN,80.7,"1,092.50",6.5,0.7,2.9,0,0.5
Chris Olave,NO,82.1,"1,146.40",5.6,0,0.2,0,1.4
Christian Watson,GB,69.6,955.1,6.1,7.4,66.6,1,0.3
DeVonta Smith,PHI,84.3,"1,062.50",6.3,0,0.2,0,0.6
DK Metcalf,SEA,82,"1,006.20",7.1,0.2,1.3,0,0.8
Jerry Jeudy,DEN,74.1,"1,051.10",5.6,1.5,15.3,0,0.3
Terry McLaurin,WAS,72.9,"1,041.70",5.3,3.1,19.4,0.1,0.4
Calvin Ridley,JAC,77.1,993.4,6.2,1.7,4.2,0,0.5
Mike Williams,LAC,71.1,995.3,6,1.2,5.3,0,0.3
Keenan Allen,LAC,90,"1,008.20",5.5,1.6,8.9,0,0.6
Mike Evans,TB,71,982.6,5.9,0.1,8,0,0.3
Christian Kirk,JAC,76,944.5,6,3.3,19.9,0.1,0.4
DeAndre Hopkins,TEN,75.8,985.3,5.6,0.2,1.5,0,0.7
DJ Moore,CHI,65.6,917.6,6.1,5.1,32.8,0,0.5
Chris Godwin,TB,92.6,981,4.4,2.3,11.3,0.1,1
Drake London,ATL,76.5,947.1,5.6,0,0.2,0,2.1
Brandon Aiyuk,SF,63.8,898.6,5.3,2.8,18.7,0.2,0.5
Tyler Lockett,SEA,71.7,889.4,5.8,0.3,0.8,0,0.5
Marquise Brown,ARI,78.5,899.2,5,1.7,9.9,0,0.4
Jahan Dotson,WAS,57.7,820.4,6.2,3.1,10.3,0.1,0.3
Brandin Cooks,DAL,68.8,871.9,5,2.6,19.3,0.1,0.3
Gabe Davis,BUF,50.7,825.2,6.2,0.1,0.9,0,0.4
George Pickens,PIT,54.4,840.9,5.1,2.3,16,0.4,0.3
Michael Pittman Jr.,IND,77.2,885,4.4,1.9,19.6,0,0.5
Diontae Johnson,PIT,79.3,887.9,4.2,4.7,24.8,0,0.7
Jordan Addison,MIN,62.6,820.3,4.7,2,11.5,0.1,0.8
Treylon Burks,TEN,58.4,805,3.9,6.4,52.4,0.1,0.3
Kadarius Toney,KC,54.8,628.3,4.4,11.2,111.5,1.5,0.7
Michael Thomas,NO,64.8,759.5,4.4,0.4,1.4,0,0.3
JuJu Smith-Schuster,NE,68.8,773.3,4.1,0.2,1.2,0.1,0.7
Jaxon Smith-Njigba,SEA,56,762.1,4.2,1.5,10.1,0,0.8
Rashod Bateman,BAL,53.6,781.5,4.1,0,0.4,0,1
Courtland Sutton,DEN,57,773.1,3.6,0.6,3.3,0,0.3
Jakobi Meyers,LV,63.5,755.9,3.9,1.2,2.5,0,1
Nico Collins,HOU,56.4,706.2,4.5,0,0.2,0,0.3
Zay Flowers,BAL,50.2,698.4,4.3,1.4,11.9,0.1,0.8
Tyler Boyd,CIN,57.9,718.4,3.8,1.9,10.6,0,0.5
Allen Lazard,NYJ,53.3,670.3,4.5,1.4,9.9,0,0.3
Marquez Valdes-Scantling,KC,44.1,696.4,4,0.9,2.4,0,0.1
Adam Thielen,CAR,57.2,667.5,4.3,0.7,5,0.1,0.4
Quentin Johnston,LAC,47.7,682.4,3.6,3.4,17.5,0.1,0.8
DJ Chark Jr.,CAR,43,683.2,3.6,0.2,1.7,0,0
Darnell Mooney,CHI,51.2,663.1,3.8,1.9,9,0.1,0.3
Zay Jones,JAC,62,678.4,3.7,1.8,7.5,0,0.5
DeVante Parker,NE,45.6,675.5,3.7,0,0.2,0,0
Rondale Moore,ARI,68.2,700.4,2.2,14.9,62.3,0.1,0.6
Curtis Samuel,WAS,49.2,532.5,2.7,26.2,140.4,0.9,0.5
Romeo Doubs,GB,53.6,627.7,4.3,0.8,7.7,0,0.8
Donovan Peoples-Jones,CLE,46.7,691.1,3.2,0.5,0.6,0,0.6
Jameson Williams,DET,41.4,634.2,3.6,2.5,24.3,0.1,0.5
Rashid Shaheed,NO,39.8,611.9,2.6,3.4,47.7,0.9,0.3
Jonathan Mingo,CAR,44.8,649,3.2,1.6,16,0.1,0.5
Tim Patrick,DEN,43.5,616.3,3.9,0,0.4,0,0
Van Jefferson,LAR,42.2,598.8,3.9,0.9,6.1,0,0
Michael Gallup,DAL,45.9,601.4,3.9,0,0.9,0,0
